company,number,symbol,ytd_return
"Robinhood Markets, Inc.",1,HOOD,264.47
Western Digital,2,WDC,169.64
Newmont,3,NEM,154.94
Seagate Technology,4,STX,148.41
Micron Technology,5,MU,145.69
Palantir Technologies,6,PLTR,140.10
Lam Research,7,LRCX,99.43
Advanced Micro Devices,8,AMD,99.16
Intel,9,INTC,90.02
NRG Energy,10,NRG,85.11
Amphenol,11,APH,83.83
CVS Health,12,CVS,83.74
KLA Corporation,13,KLAC,82.96
GE Aerospace,14,GE,81.47
GE Vernova,15,GEV,80.61
Supermicro,16,SMCI,80.58
Corning Inc.,17,GLW,79.46
"Tapestry, Inc.",18,TPR,78.08
Howmet Aerospace,19,HWM,76.03
AppLovin Corporation,20,APP,74.76
Monolithic Power Systems,21,MPWR,74.34
Warner Bros. Discovery,22,WBD,73.32
Oracle Corporation,23,ORCL,66.33
Constellation Energy,24,CEG,65.39
Paramount Skydance Corp,25,PSKY,62.43
DoorDash,26,DASH,58.19
TE Connectivity,27,TEL,58.05
Idexx Laboratories,28,IDXX,55.62
Uber,29,UBER,55.34
eBay,30,EBAY,54.40
"EMCOR Group, Inc.",31,EME,54.26
Interactive Brokers Group,32,IBKR,51.56
Huntington Ingalls Industries,33,HII,51.23
Broadcom,34,AVGO,50.64
CrowdStrike,35,CRWD,47.19
Caterpillar Inc.,36,CAT,46.43
Cencora,37,COR,45.71
HCA Healthcare,38,HCA,44.31
Ralph Lauren Corporation,39,RL,44.17
Take-Two Interactive,40,TTWO,42.49
United Rentals,41,URI,42.00
Jabil,42,JBL,41.78
Wynn Resorts,43,WYNN,41.53
BNY Mellon,44,BK,41.22
Citigroup,45,C,41.07
Welltower,46,WELL,41.01
Vistra Corp.,47,VST,40.89
Dollar General,48,DG,40.39
Applied Materials,49,AMAT,40.28
Johnson Controls,50,JCI,40.12
Quanta Services,51,PWR,39.45
Netflix,52,NFLX,38.96
RTX Corporation,53,RTX,38.88
Coinbase Global,54,COIN,38.45
McKesson Corporation,55,MCK,38.24
L3Harris,56,LHX,38.18
Aptiv,57,APTV,37.90
Electronic Arts,58,EA,37.11
Estée Lauder Companies (The),59,EL,36.73
Allegion,60,ALLE,36.19
Nvidia,61,NVDA,36.00
Alphabet Inc. (Class A),62,GOOGL,35.53
Alphabet Inc. (Class C),63,GOOG,34.96
Johnson & Johnson,64,JNJ,33.95
Hasbro,65,HAS,33.77
Marathon Petroleum,66,MPC,33.53
Goldman Sachs,67,GS,33.30
Gilead Sciences,68,GILD,33.28
Cardinal Health,69,CAH,32.98
Monster Beverage,70,MNST,32.72
Arista Networks,71,ANET,32.53
Leidos,72,LDOS,32.23
Dollar Tree,73,DLTR,32.13
TKO Group Holdings,74,TKO,31.46
Philip Morris International,75,PM,31.33
Royal Caribbean Group,76,RCL,31.28
Invesco,77,IVZ,30.66
Valero Energy,78,VLO,30.66
AbbVie,79,ABBV,30.59
First Solar,80,FSLR,29.94
